idEvent,dateEvent,eventCity,eventStatus,eventElapsed,eventLeague,eventRound,idHomeTeam,strHomeTeam,logoHomeTeam,idAwayTeam,strAwayTeam,logoAwayTeam,intHomeScore,intAwayScore,intHomeHt,intAwayHt,date,hour,idWinner,winner,winOrDraw,underOver,predGoalsHome,predGoalsAway,advice,formHome,formAway,attHome,attAway,defHome,defAway,poissonHome,poissonAway,h2hHome,h2hAway,goalsHome,goalsAway,totalHome,totalAway,homeOdd,drawOdd,awayOdd,over05,over05Ht,under15,under15Ht
317888,2020-02-02 19:00:00-03:00,"Campinas, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 4,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,2,1,1,1,2020-02-02 00:00:00,19:00:00,10003.0,Santo André,False,1.5,-2.5,-4.5,Combo Winner : Santo André and +1.5 goals,31,69,50,50,50,50,24,76,0,0,0,0,38.8,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317890,2020-02-03 20:00:00-03:00,"Ribeirão Preto, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 4,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,0,6,0,3,2020-02-03 00:00:00,20:00:00,7848.0,Mirassol,True,0.0,-1.5,-1.5,Double chance : draw or Mirassol,25,75,50,50,30,70,0,100,0,0,0,0,35.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317891,2020-02-03 20:00:00-03:00,"São Paulo, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 4,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,1,1,0,0,2020-02-03 00:00:00,20:00:00,7834.0,Novorizontino,True,-3.5,-2.5,-2.5,Combo Double chance : draw or Novorizontino and -3.5 goals,50,50,50,50,0,100,0,0,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317892,2020-02-07 19:15:00-03:00,"Barueri, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 5,143,Oeste,https://media.api-sports.io/football/teams/143.png,138,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,1,1,1,1,2020-02-07 00:00:00,19:15:00,138.0,Guarani Campinas,False,1.5,-1.5,-4.5,Combo Winner : Guarani Campinas and +1.5 goals,30,70,20,80,27,73,8,92,71,29,69,31,37.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317907,2020-02-21 16:00:00-03:00,"Ribeirão Preto, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 7,2618,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,1201,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,2,1,0,1,2020-02-21 00:00:00,16:00:00,1201.0,Inter De Limeira,True,0.0,-1.5,-2.5,Double chance : draw or Inter De Limeira,18,82,43,57,25,75,10,90,0,0,0,0,24.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317893,2020-02-07 21:30:00-03:00,"Mirassol, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 5,7848,Mirassol,https://media.api-sports.io/football/teams/7848.png,794,Bragantino,https://media.api-sports.io/football/teams/794.png,2,0,1,0,2020-02-07 00:00:00,21:30:00,7848.0,Mirassol,False,-3.5,-3.5,-1.5,Combo Winner : Mirassol and -3.5 goals,55,45,82,18,40,60,0,0,0,0,0,0,59.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654982,2021-03-14 19:00:00-03:00,"Bragança Paulista, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 4,794,Bragantino,https://media.api-sports.io/football/teams/794.png,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,2,1,1,0,2021-03-14 00:00:00,19:00:00,10003.0,Santo André,True,-3.5,-1.5,-1.5,Combo Double chance : draw or Santo André and -3.5 goals,50,50,50,50,67,33,0,0,0,100,0,100,55.7,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655032,2021-05-02 20:00:00-03:00,"São Paulo, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 10,10003,Santo André,https://media.api-sports.io/football/teams/10003.png,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,0,1,0,1,2021-05-02 00:00:00,20:00:00,121.0,Palmeiras,True,-3.5,-1.5,-1.5,Combo Double chance : draw or Palmeiras and -3.5 goals,33,67,40,60,42,58,32,68,0,100,0,100,36.8,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317949,2020-01-25 15:00:00-03:00,"São Paulo, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 2,10018,Água Santa,https://media.api-sports.io/football/teams/10018.png,7834,Novorizontino,https://media.api-sports.io/football/teams/7834.png,0,2,0,1,2020-01-25 00:00:00,15:00:00,7834.0,Novorizontino,False,-3.5,0.0,-2.5,Combo Winner : Novorizontino and -3.5 goals,0,100,0,100,0,100,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317894,2020-02-08 19:30:00-03:00,"Campinas, São Paulo",Match Finished,90,Paulista - A1,Regular Season - 5,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,0,1,0,1,2020-02-08 00:00:00,19:30:00,121.0,Palmeiras,False,1.5,-2.5,-4.5,Combo Winner : Palmeiras and +1.5 goals,46,54,40,60,25,75,29,71,50,50,46,54,39.3,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
