idEvent,idTeam,strTeam,isHome,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
317952,10018,Água Santa,True,4.0,3.0,11.0,4.0,6.0,5.0,15.0,7.0,1.0,42%,1.0,,3.0,312.0,242.0,78%
317952,7826,Ferroviária,False,2.0,7.0,17.0,8.0,8.0,9.0,13.0,8.0,,58%,3.0,,3.0,418.0,334.0,80%
317953,2618,Botafogo SP,True,5.0,3.0,12.0,4.0,10.0,2.0,18.0,7.0,1.0,60%,4.0,,4.0,478.0,394.0,82%
317953,10018,Água Santa,False,5.0,4.0,13.0,4.0,8.0,5.0,10.0,5.0,,40%,3.0,,4.0,307.0,239.0,78%
317954,10018,Água Santa,True,2.0,2.0,5.0,1.0,3.0,2.0,20.0,1.0,3.0,35%,6.0,,5.0,305.0,240.0,79%
317954,131,Corinthians,False,5.0,8.0,17.0,4.0,8.0,9.0,12.0,6.0,3.0,65%,3.0,1.0,,550.0,489.0,89%
317955,138,Guarani Campinas,True,4.0,5.0,13.0,4.0,8.0,5.0,16.0,7.0,2.0,65%,2.0,,3.0,652.0,583.0,89%
317955,10018,Água Santa,False,3.0,10.0,14.0,1.0,8.0,6.0,16.0,4.0,1.0,35%,3.0,,4.0,340.0,262.0,77%
317956,10018,Água Santa,True,5.0,7.0,16.0,4.0,5.0,11.0,16.0,10.0,1.0,70%,2.0,,,562.0,485.0,86%
317956,1201,Inter De Limeira,False,1.0,3.0,6.0,2.0,4.0,2.0,17.0,3.0,3.0,30%,3.0,,3.0,245.0,170.0,69%
317957,794,Bragantino,True,11.0,6.0,21.0,4.0,13.0,8.0,12.0,9.0,3.0,63%,1.0,,3.0,559.0,473.0,85%
317957,10018,Água Santa,False,3.0,7.0,13.0,3.0,5.0,8.0,14.0,4.0,5.0,37%,2.0,,7.0,321.0,224.0,70%
704058,126,Sao Paulo,True,6.0,9.0,18.0,3.0,11.0,7.0,8.0,4.0,6.0,68%,,,2.0,620.0,546.0,88%
704058,7848,Mirassol,False,2.0,5.0,9.0,2.0,4.0,5.0,9.0,2.0,,32%,2.0,,2.0,287.0,197.0,69%
704059,131,Corinthians,True,2.0,5.0,8.0,1.0,3.0,5.0,17.0,5.0,2.0,61%,5.0,1.0,2.0,462.0,379.0,82%
704059,121,Palmeiras,False,4.0,5.0,13.0,4.0,7.0,6.0,17.0,3.0,6.0,39%,2.0,1.0,2.0,288.0,204.0,71%
654975,156,Sao Bento,True,4.0,7.0,15.0,4.0,9.0,6.0,17.0,5.0,2.0,40%,2.0,,4.0,268.0,198.0,74%
654975,121,Palmeiras,False,5.0,8.0,18.0,5.0,9.0,9.0,16.0,7.0,7.0,60%,2.0,1.0,3.0,408.0,326.0,80%
654985,7826,Ferroviária,True,4.0,9.0,17.0,4.0,8.0,9.0,14.0,4.0,1.0,64%,2.0,,1.0,474.0,379.0,80%
654985,138,Guarani Campinas,False,2.0,5.0,11.0,4.0,8.0,3.0,10.0,10.0,3.0,36%,,,3.0,255.0,175.0,69%
654986,1201,Inter De Limeira,True,3.0,2.0,6.0,1.0,2.0,4.0,13.0,3.0,4.0,44%,2.0,1.0,2.0,312.0,232.0,74%
654986,794,Bragantino,False,4.0,14.0,19.0,1.0,14.0,5.0,21.0,7.0,2.0,56%,2.0,,3.0,379.0,321.0,85%
654987,7779,Ituano,True,5.0,6.0,12.0,1.0,4.0,8.0,16.0,7.0,1.0,69%,2.0,,4.0,516.0,420.0,81%
654987,2618,Botafogo SP,False,6.0,4.0,13.0,3.0,10.0,3.0,12.0,8.0,,31%,4.0,,4.0,222.0,128.0,58%
654988,7848,Mirassol,True,7.0,11.0,20.0,2.0,13.0,7.0,12.0,8.0,4.0,54%,1.0,,1.0,408.0,327.0,80%
654988,131,Corinthians,False,2.0,5.0,13.0,6.0,10.0,3.0,17.0,5.0,1.0,46%,2.0,,7.0,353.0,260.0,74%
654989,121,Palmeiras,True,1.0,5.0,8.0,2.0,3.0,5.0,17.0,2.0,1.0,43%,2.0,,1.0,366.0,297.0,81%
654989,126,Sao Paulo,False,2.0,8.0,15.0,5.0,8.0,7.0,23.0,3.0,1.0,57%,1.0,,1.0,459.0,391.0,85%
654990,139,Ponte Preta,True,6.0,7.0,13.0,,9.0,4.0,14.0,3.0,,28%,1.0,,2.0,249.0,190.0,76%
654990,128,Santos,False,2.0,5.0,13.0,6.0,5.0,8.0,12.0,8.0,,72%,3.0,,3.0,612.0,563.0,92%
654991,10003,Santo André,True,3.0,6.0,12.0,3.0,4.0,8.0,16.0,3.0,2.0,51%,1.0,1.0,1.0,384.0,306.0,80%
654991,156,Sao Bento,False,1.0,2.0,9.0,6.0,2.0,7.0,16.0,5.0,1.0,49%,1.0,,3.0,367.0,288.0,78%
654992,7786,São Caetano,True,4.0,2.0,8.0,2.0,5.0,3.0,15.0,3.0,1.0,56%,1.0,,2.0,443.0,339.0,77%
654992,7834,Novorizontino,False,4.0,8.0,16.0,4.0,8.0,8.0,11.0,11.0,2.0,44%,2.0,,4.0,321.0,232.0,72%
654993,2618,Botafogo SP,True,3.0,9.0,14.0,2.0,7.0,7.0,17.0,7.0,1.0,41%,3.0,,4.0,277.0,198.0,71%
654993,121,Palmeiras,False,4.0,7.0,16.0,5.0,10.0,6.0,12.0,8.0,2.0,59%,3.0,,3.0,398.0,301.0,76%
654994,131,Corinthians,True,3.0,9.0,18.0,6.0,8.0,10.0,12.0,2.0,2.0,54%,1.0,,2.0,408.0,324.0,79%
654994,7779,Ituano,False,2.0,2.0,7.0,3.0,1.0,6.0,16.0,5.0,6.0,46%,2.0,,1.0,330.0,238.0,72%
654995,7834,Novorizontino,True,5.0,4.0,10.0,1.0,6.0,4.0,17.0,8.0,1.0,35%,1.0,,1.0,287.0,193.0,67%
654995,7826,Ferroviária,False,2.0,4.0,8.0,2.0,4.0,4.0,6.0,3.0,,65%,,,2.0,520.0,421.0,81%
654996,139,Ponte Preta,True,3.0,4.0,8.0,1.0,6.0,2.0,15.0,4.0,,56%,2.0,,2.0,527.0,439.0,83%
654996,138,Guarani Campinas,False,3.0,6.0,10.0,1.0,5.0,5.0,11.0,4.0,2.0,44%,3.0,1.0,,392.0,324.0,83%
